Question,Answer,Answer Type,Reasoning Type,id
What is the cube of the sum of the digits of the year Roy Rogers and his third wife starred in a film directed by Frank McDonald?,6859.0,number,Arithmetic,5a7a46605542994f819ef1ad_0
What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,1945,year,Original,5a7a46605542994f819ef1ad_0
"What is the sum of all the digits in the day, month and year of the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?",26,number,Arithmetic,5a88fc4255429938390d4019_2
"What is the sum of all the digits in the day, month and year of the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine?",30,number,Arithmetic,5ac279345542990b17b153b0_2
What is the binary code of the first letter of the first name of the director of a 2004 film where Kam Heskin plays Paige Morgan in in lowercase?,1101101,string,"Symbolic, Commonsense",5ae789615542997ec2727695_2
What is the binary code of the first letter of the first name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread  in lowercase?,1101000,string,"Symbolic, Commonsense",5ab5744e554299494045efdf_2
What is the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,Hahn,string,Commonsense,5ae65c925542992ae0d162f9_19
"What is the date 9 months after the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended?",2016-07-16,date,"Commonsense, Arithmetic",5a84b4005542991dd0999d99_6
What is the concatenation of the last letters of the first name and last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,yn,string,"Symbolic, Commonsense",5a7741775542994aec3b724f_3
What is the combined length of the first name and last name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread ?,11,number,"Commonsense, Arithmetic",5ab5744e554299494045efdf_8
What is the result of adding 2 to the reverse of the year since when  the rank held by Sir Charles Comyn Egertong has been the highest in the British Army?,6373,number,"Symbolic, Arithmetic",5ac1b1345542994ab5c67dd0_7
"What is the alphabetical order of the letters in the first name of the brother of the architect of Hook and Ladder No. 4 located in Albany, NY?",celruy,string,"Symbolic, Commonsense",5a8485fa5542992a431d1a41_15
What is the alphabetical order of the letters in the last name of the person who directed and wrote the 2016 film featuring the voice of Townsend Coleman?,egijnnns,string,"Symbolic, Commonsense",5ae457a95542996836b02c85_15
What is the day of the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?,30,number,Commonsense,5abb11c15542992ccd8e7ef8_4
Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole on what date?,"March 30, 2025",date,Original,5abb11c15542992ccd8e7ef8_4
What is the day of the date the movement Hans Knirsch was an activist for officially gained traction?,15,number,Commonsense,5a790f5e55429970f5fffe40_4
What is the result of substracting 3 from the reverse of the year Roy Rogers and his third wife starred in a film directed by Frank McDonald?,5488,number,"Symbolic, Arithmetic",5a7a46605542994f819ef1ad_7
"What is the reverse order of the year when the American healthy lifestyle magazine, in which Georgia Rickard contributed, was started?",0591,number,Symbolic,5ac52f455542996feb3fea12_5
"What is the sum of the (unique) prime factors of the year when the follow up of Lawerence Turman's film, with a character named ""Johnny 5"" was released?",82,number,Arithmetic,5ab40e1c5542996a3a969f00_1
How many letters are there between the first and last letters of the last name of the american film actor by who Stephen susco wrote a movie produced?,3,number,"Commonsense, Arithmetic",5abbc58455429931dba14502_12
What is the reverse order of the letters in the last name of the person who directed and wrote the 2016 film featuring the voice of Townsend Coleman?,sgninnej,string,"Symbolic, Commonsense",5ae457a95542996836b02c85_14
What the concatenation of the second and third digits of the year of the invasion that Francisco Jose Hernandez was a participant in?,96,number,Symbolic,5a90843c5542995651fb517e_6
What the concatenation of the second and third digits of the year of birth of the King who made the 1925 Birthday Honours?,86,number,Symbolic,5a7625e8554299109176e66a_6
In which year was the King who made the 1925 Birthday Honours born?,1865,year,Original,5a7625e8554299109176e66a_6
What is the closest palindrome number to the year of the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine?,1881,number,"Commonsense, Arithmetic",5ac279345542990b17b153b0_3
What is the closest palindrome number to the year of the date when Charlie McDermott plays Axl Heck on a tv show that premiered in ?,2002,number,"Commonsense, Arithmetic",5ae26cb15542994d89d5b421_3
"What is the difference between the year when the American electronic music duo from Orlando, Florida that Angelspit toured the United States with was formed and the year 2024?",18,number,Arithmetic,5ab94cca554299753720f7dd_2
"How many vowels are there in the first name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",2,number,"Commonsense, Arithmetic",5a877e5d5542993e715abf7d_4
How many vowels are there in the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,3,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_4
"What is the date one day before the birthdate of this American comedian, actress, and writer, who was a supporting cast remember in Brooklyn Nine-Nine as Gina?",1978-02-19,date,"Commonsense, Arithmetic",5abebbe65542997719eab59d_7
"What is the birthdate of this American comedian, actress, and writer, who was a supporting cast member in Brooklyn Nine-Nine as Gina?","February 20, 1978",date,Original,5abebbe65542997719eab59d_7
What is the date one day before the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?,2025-03-29,date,"Commonsense, Arithmetic",5abb11c15542992ccd8e7ef8_7
What is the square of the sum of the digits of the birth year of the person who wrote and illustrated a Japanese manga series based on a 16 year old high school student Ichitaka Seto?,324.0,number,Arithmetic,5a79311755429970f5fffe67_0
What is the square of the sum of the digits of the year of birth of the playwriter of Three Men on a Horse?,576.0,number,Arithmetic,5ab659e355429954757d324e_0
How many unique letters are there in the last name of the american film actor by who Stephen susco wrote a movie produced?,4,number,"Commonsense, Arithmetic",5abbc58455429931dba14502_7
"How many days lay between the date the movement Hans Knirsch was an activist for officially gained traction and Sat, 12-11-1988?",31044,number,"Commonsense, Arithmetic",5a790f5e55429970f5fffe40_1
How many syllables are there in the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,2,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_9
How many syllables are there in the first name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread ?,2,number,"Commonsense, Arithmetic",5ab5744e554299494045efdf_9
How many distinct two-letter combinations exist in the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,12,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_10
How many distinct two-letter combinations exist in the first name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread ?,12,number,"Commonsense, Arithmetic",5ab5744e554299494045efdf_10
What is the sum of the digits of the year the year of birth of the author whose short stories is collected in Rock Springs?,18,number,Arithmetic,5a7c6bcc55429935c91b519c_0
"How many repeated letters are there in the first name of the current drummer of the band who did the song ""What Lovers Do""?",1,number,"Commonsense, Arithmetic",5ae5072e55429960a22e0246_13
"What is the ASCII code of the last letter of the first name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones""?",109,number,"Symbolic, Commonsense",5ac23f9555429951e9e684db_1
What is the result of multiplying 8 by the reverse of the year of birth of the playwriter of Three Men on a Horse?,63048,number,"Symbolic, Arithmetic",5ab659e355429954757d324e_7
What is the result of multiplying 7 by the reverse of the year of birth of the King who made the 1925 Birthday Honours?,39767,number,"Symbolic, Arithmetic",5a7625e8554299109176e66a_7
What is the year of the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?,2017,number,Commonsense,5a88fc4255429938390d4019_4
"What the concatenation of the first and last digits of the year the Guild of Music Supervisors Awards recognized a British-American romantic drama film based on the 1952 romance novel ""The Price of Salt"" starring Cate Blanchett??",26,number,Symbolic,5a80541d5542996402f6a4d2_6
"In what year did the Guild of Music Supervisors Awards recognize a British-American romantic drama film based on the 1952 romance novel ""The Price of Salt"" starring Cate Blanchett?",2016,year,Original,5a80541d5542996402f6a4d2_6
How many consonants are there in the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,3,number,"Commonsense, Arithmetic",5ae65c925542992ae0d162f9_4
"What is the concatenation of the first letters of the first name and last name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni in lowercase?",dw,string,"Symbolic, Commonsense",5a877e5d5542993e715abf7d_3
"What is the concatenation of the first letter of the first name and the last letter of the last name of the current drummer of the band who did the song ""What Lovers Do"" in lowercase?",mn,string,"Symbolic, Commonsense",5ae5072e55429960a22e0246_3
What is the date one week before the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,1978-09-30,date,"Commonsense, Arithmetic",5ae7eaf65542994a481bbe1d_7
What is the year 6 years before the year when The Duke Steps Out stars an actress who was ranked tenth on a list of greatest female Hollywood stars?,1993,number,"Commonsense, Arithmetic",5a8ba59a554299240d9c2058_4
The Duke Steps Out stars an actress who was ranked tenth on a list of greatest female Hollywood stars in what year?,1999,year,Original,5a8ba59a554299240d9c2058_4
What is the year 3 years before the year of birth of the King who made the 1925 Birthday Honours?,1862,number,"Commonsense, Arithmetic",5a7625e8554299109176e66a_4
"Which day of the week was the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended?",Friday,string,"Commonsense, Arithmetic",5a84b4005542991dd0999d99_0
Which day of the week was the release date of U2 album song An Cat Dubh / Into the Heart?,Monday,string,"Commonsense, Arithmetic",5ac3b0885542995ef918c1f8_0
What is the first letter of the first name of the director of a 1977 film which shares a name with The third solo album by David Gates of Bread  in lowercase?,h,letter,"Symbolic, Commonsense",5ab5744e554299494045efdf_0
What is the ASCII code of the last letter of the last name of the american film actor by who Stephen susco wrote a movie produced?,105,number,"Symbolic, Commonsense",5abbc58455429931dba14502_1
How many unique letters are there in the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,5,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_7
How many unique letters are there in the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?,5,number,"Commonsense, Arithmetic",5ae686535542996d980e7bdc_7
What is the product of the digits of the year the year of birth of the actress who created The Dogwoman telemovies?,54,number,Arithmetic,5ab4107a554299753aec5a2f_0
What is the product of the digits of the year the year of birth of the man who conducted the experiment Operation light house with Wernher von Braun?,360,number,Arithmetic,5ab42b24554299753aec5a43_0
How many consonants are there in the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?,4,number,"Commonsense, Arithmetic",5ae6828f5542996d980e7bb9_4
How many consonants are there in the first name of the person who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke?,3,number,"Commonsense, Arithmetic",5add2b435542990d50227e11_4
What is the year following the birth year of the mathematician husband of Anneli Cahn Lax ?,1927,number,"Commonsense, Arithmetic",5ae27f22554299495565da8d_4
What is the first letter of the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas in lowercase?,p,letter,"Symbolic, Commonsense",5a7741775542994aec3b724f_0
How many additional letters does the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V have compared to the first name of Allen Raymond?,2,number,"Commonsense, Arithmetic",5a81dacc55429926c1cdada0_18
What is the ASCII code of the first letter of the first name of the director of a 2004 film where Kam Heskin plays Paige Morgan in in lowercase?,109,number,"Symbolic, Commonsense",5ae789615542997ec2727695_1
What is the ASCII code of the first letter of the first name of the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V in lowercase?,119,number,"Symbolic, Commonsense",5a81dacc55429926c1cdada0_1
"What is the month (in number) of the release date of the professional wrestling video game in which Mark Henry will appear as ""legend""?",10,number,Commonsense,5ae5305b5542990ba0bbb1f5_4
What is the month (in number) of the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,10,number,Commonsense,5ae7eaf65542994a481bbe1d_4
"What is the date one month after the birthdate of the director of an American short slasher film with French-speaking serial killers that was released on October 31, 2011?",1986-07-11,date,"Commonsense, Arithmetic",5a77ba6c55429967ab10524c_5
What is the date one month after the birthdate of the father of Princess Mafalda of Savoy?,1869-12-11,date,"Commonsense, Arithmetic",5a74f7f15542993748c89765_5
"What is the date one month before the birthdate of the director of an American short slasher film with French-speaking serial killers that was released on October 31, 2011?",1986-05-11,date,"Commonsense, Arithmetic",5a77ba6c55429967ab10524c_7
"What is the date one month before the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended?",2015-09-16,date,"Commonsense, Arithmetic",5a84b4005542991dd0999d99_7
What is the date one day after the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?,2025-03-31,date,"Commonsense, Arithmetic",5abb11c15542992ccd8e7ef8_5
"What is the date one day after the birthdate of this American comedian, actress, and writer, who was a supporting cast remember in Brooklyn Nine-Nine as Gina?",1978-02-21,date,"Commonsense, Arithmetic",5abebbe65542997719eab59d_5
What is the date one week after the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1813-01-25,date,"Commonsense, Arithmetic",5a7624b85542992db947372c_5
What is the date one week after the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,1978-10-14,date,"Commonsense, Arithmetic",5ae7eaf65542994a481bbe1d_5
What is the date 3 weeks before the date the movement Hans Knirsch was an activist for officially gained traction?,1903-10-25,date,"Commonsense, Arithmetic",5a790f5e55429970f5fffe40_8
What is the date 5 weeks before the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1812-12-14,date,"Commonsense, Arithmetic",5a7624b85542992db947372c_8
What is the date 4 weeks after the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?,2017-10-23,date,"Commonsense, Arithmetic",5a88fc4255429938390d4019_6
What is the date 6 weeks after the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,1978-11-18,date,"Commonsense, Arithmetic",5ae7eaf65542994a481bbe1d_6
What is the date 3 days before the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?,2025-03-27,date,"Commonsense, Arithmetic",5abb11c15542992ccd8e7ef8_8
"What is the date 3 days before the birthdate of this American comedian, actress, and writer, who was a supporting cast remember in Brooklyn Nine-Nine as Gina?",1978-02-17,date,"Commonsense, Arithmetic",5abebbe65542997719eab59d_8
How many additional letters does the last name of Jimmie Winters have compared to the last name of the person who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke?,2,number,"Commonsense, Arithmetic",5add2b435542990d50227e11_18
"What is the date 5 months before the birth date of the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush""?",1935-08-07,date,"Commonsense, Arithmetic",5ae63dad55429929b0807afe_8
"What is the date 3 days after the birthdate of this American comedian, actress, and writer, who was a supporting cast remember in Brooklyn Nine-Nine as Gina?",1978-02-23,date,"Commonsense, Arithmetic",5abebbe65542997719eab59d_6
What is the date 2 days after the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?,2025-04-01,date,"Commonsense, Arithmetic",5abb11c15542992ccd8e7ef8_6
What is the date 6 years after the release date of U2 album song An Cat Dubh / Into the Heart?,1986-10-20,date,"Commonsense, Arithmetic",5ac3b0885542995ef918c1f8_6
What is the date one year before the date when Charlie McDermott plays Axl Heck on a tv show that premiered in ?,2008-09-30,date,"Commonsense, Arithmetic",5ae26cb15542994d89d5b421_7
What is the date 3 years before the date on which Luke Null is an actor who was on the program that premiered its 43rd season?,2014-09-30,date,"Commonsense, Arithmetic",5ac3b5d3554299741d48a2f3_8
What is the total number of letters in the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,4,number,"Commonsense, Arithmetic",5ae65c925542992ae0d162f9_6
"What is the reverse order of the year when the follow up of Lawerence Turman's film, with a character named ""Johnny 5"" was released?",8891,number,Symbolic,5ab40e1c5542996a3a969f00_5
"What is the sum of the (unique) prime factors of the year of death of the Danish plant ecologist who assisted a Danish chemist, famous for the introduction of the concept of pH die?",59,number,Arithmetic,5a7ce50f55429909bec76869_1
What is the sum of the (unique) prime factors of the year of birth of the actor who appeared on Charlotte's Shorts and Weeds?,985,number,Arithmetic,5ae1f5a15542997f29b3c1b5_1
What is the alphabetical order of the letters in the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?,ahmost,string,"Symbolic, Commonsense",5ae6828f5542996d980e7bb9_15
What is the sum of the (unique) prime factors of the year the biographical-comedy-crime film directed by Steven Soderbergh about the highest-level corporate executive whistleblower came out?,55,number,Arithmetic,5a80ad7c5542992097ad3018_1
What year did the biographical-comedy-crime film directed by Steven Soderbergh about the highest-level corporate executive whistleblower come out?,2009,year,Original,5a80ad7c5542992097ad3018_1
What is the reverse order of the year of birth of the author whose short stories is collected in Rock Springs?,4491,number,Symbolic,5a7c6bcc55429935c91b519c_5
What is the reverse order of the letters in the first name of the person who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke?,esrioas,string,"Symbolic, Commonsense",5add2b435542990d50227e11_14
"What is the closest palindrome number to the year of the birth date of the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush""?",1881,number,"Commonsense, Arithmetic",5ae63dad55429929b0807afe_3
"What is the last letter of the first name of the person who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",m,letter,"Symbolic, Commonsense",5ae638865542992ae0d1628c_0
"What is the concatenation of the first letters of the first name and last name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink in lowercase?",ca,string,"Symbolic, Commonsense",5a722fae55429971e9dc9343_3
"What is the result of multiplying 4 by the reverse of the year when the song that some critics compared to ""Fading"" was released?",32008,number,"Symbolic, Arithmetic",5adca8375542990d50227cd4_7
"What is the sum of the digits of the year the year when the American healthy lifestyle magazine, in which Georgia Rickard contributed, was started?",15,number,Arithmetic,5ac52f455542996feb3fea12_0
What is the sum of the (unique) prime factors of the year the brother of this first round draft pick by the Washington Redskins was drafted?,2003,number,Arithmetic,5ae738f75542991bbc9761c4_1
"What is the alphabetical order of the letters in the first name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",addiv,string,"Symbolic, Commonsense",5a877e5d5542993e715abf7d_15
What is the difference between the birth year of the player who Charles Barkley changed his jersey number to #32 in honor of and the year 2024?,65,number,Arithmetic,5ae835f25542997ec272776f_2
"What is the combined length of the first name and last name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",13,number,"Commonsense, Arithmetic",5a877e5d5542993e715abf7d_8
"What is the sum of all the digits in the day, month and year of the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?",33,number,Arithmetic,5ae7eaf65542994a481bbe1d_2
How many unique letters are there in the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,5,number,"Commonsense, Arithmetic",5a7741775542994aec3b724f_7
What is the reverse order of the year of birth of the actress who created The Dogwoman telemovies?,1691,number,Symbolic,5ab4107a554299753aec5a2f_5
"Which day of the week was the date when the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump was born?",Friday,string,"Commonsense, Arithmetic",5ae5736e5542990ba0bbb2b3_0
What is the result of adding 4 to the reverse of the year Christopher Nolan's magic-themed drama came out?,6006,number,"Symbolic, Arithmetic",5a77a41a5542997042120ab9_7
What is the closest palindrome number to the year since when  the rank held by Sir Charles Comyn Egertong has been the highest in the British Army?,1771,number,"Commonsense, Arithmetic",5ac1b1345542994ab5c67dd0_3
What is the year following the year of birth of the author whose short stories is collected in Rock Springs?,1945,number,"Commonsense, Arithmetic",5a7c6bcc55429935c91b519c_4
"How many syllables are there in the first name of the brother of the architect of Hook and Ladder No. 4 located in Albany, NY?",2,number,"Commonsense, Arithmetic",5a8485fa5542992a431d1a41_9
What is the closest palindrome number to the year of birth of the King who made the 1925 Birthday Honours?,1881,number,"Commonsense, Arithmetic",5a7625e8554299109176e66a_3
"What is the ASCII code of the first letter of the first name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni in lowercase?",100,number,"Symbolic, Commonsense",5a877e5d5542993e715abf7d_1
What is the combined length of the first name and last name of the husband of Kalanipauahi's niece?,13,number,"Commonsense, Arithmetic",5a7dff595542997cc2c474eb_8
What is the sum of the (unique) prime factors of the year until when Tefik Selim Mborja was a part of a party that held power in Albania?,96,number,Arithmetic,5a7997a2554299029c4b5f59_1
What is the reverse order of the year of birth of the actor who appeared on Charlotte's Shorts and Weeds?,6691,number,Symbolic,5ae1f5a15542997f29b3c1b5_5
"What is the closest palindrome number to the year when the American electronic music duo from Orlando, Florida that Angelspit toured the United States with was formed?",2002,number,"Commonsense, Arithmetic",5ab94cca554299753720f7dd_3
"What is the sum of all the digits in the day, month and year of the date when Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole?",15,number,Arithmetic,5abb11c15542992ccd8e7ef8_2
What is the product of the digits of the year the year when the Italian physicist who wrote Seven Brief Lessons on Physics started working in France?,0,number,Arithmetic,5a8ef2a75542995a26add583_0
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,year,Original,5a8ef2a75542995a26add583_0
How many unique letters are there in the last name of the producer of the 1994 American animated epic musical film which Mel Shaw animated?,3,number,"Commonsense, Arithmetic",5ae65c925542992ae0d162f9_7
"What is the date one day after the date of death of Alessandro Ruspoli, 9Th Prince Of Cerveteri's father?",1989-10-28,date,"Commonsense, Arithmetic",c6b372a60bdd11eba7f7acde48001122_0
"What is the date of death of Alessandro Ruspoli, 9Th Prince Of Cerveteri's father?",27 October 1989,date,Original,c6b372a60bdd11eba7f7acde48001122_0
What is the date one day after the date of birth of the director of film Night Of The Twelve?,1895-10-02,date,"Commonsense, Arithmetic",b70c94f60bdb11eba7f7acde48001122_0
What is the date of birth of the director of film Night Of The Twelve?,1 October 1895,date,Original,b70c94f60bdb11eba7f7acde48001122_0
"What is the date one day after when Joachim I, Prince Of Anhalt-Dessau's father died?",1516-06-13,date,"Commonsense, Arithmetic",47bafeb40bde11eba7f7acde48001122_0
"Which day of the week was Thomas Ashton, 3Rd Baron Ashton Of Hyde's father's birthday?",Wednesday,string,"Commonsense, Arithmetic",2fe34c7e0bde11eba7f7acde48001122_4
Which day of the week was the date of death of Catherine Of Guelders's father?,Sunday,string,"Commonsense, Arithmetic",c1b9c0ac0bdd11eba7f7acde48001122_4
Which day of the week was when Richard Abel Smith's father died?,Sunday,string,"Commonsense, Arithmetic",8a6f3d2a0bdd11eba7f7acde48001122_4
How many hours are there between the winter time zone of the place of death of the director of film Romulus And The Sabines and UTC?,1.0,number,"Commonsense, Arithmetic",16915f740bdc11eba7f7acde48001122_0
Where was the place of death of the director of film Romulus And The Sabines?,Le Plessis-Bouchard,place,Original,16915f740bdc11eba7f7acde48001122_0
How many hours are there between the winter time zone of the place of death of Musbah Bint Nasser's husband and UTC?,2.0,number,"Commonsense, Arithmetic",71cc6f3a0bde11eba7f7acde48001122_0
Where was the place of death of Musbah Bint Nasser's husband?,Jerusalem,place,Original,71cc6f3a0bde11eba7f7acde48001122_0
How many hours are there between the winter time zone of the place of birth of Sextus Barbour's father and UTC?,5.0,number,"Commonsense, Arithmetic",3c0091600bde11eba7f7acde48001122_0
What is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia",place,Original,3c0091600bde11eba7f7acde48001122_0
"What is the closest palindrome number to the year of when Prince Aage, Count Of Rosenborg's father died?",1991,number,"Commonsense, Arithmetic",8239b4580bda11eba7f7acde48001122_7
"When did Prince Aage, Count Of Rosenborg's father die?",14 January 1939,date,Original,8239b4580bda11eba7f7acde48001122_7
What is the closest palindrome number to the year of the date of death of Princess Béatrice Of Bourbon-Two Sicilies's father?,2002,number,"Commonsense, Arithmetic",1e71fb080bdd11eba7f7acde48001122_7
"What is the sum of all the digits in the day, month and year of when Philipp, Duke Of Saxe-Merseburg-Lauchstädt's father died?",27,number,Arithmetic,56b66a2c0bdc11eba7f7acde48001122_6
"What is the sum of all the digits in the day, month and year of the date of death of the composer of film Oomana Thinkal?",38,number,Arithmetic,cceeda8a0bdc11eba7f7acde48001122_6
How many syllables are there in the last name of Harriet Hemings's maternal grandfather?,2,number,"Commonsense, Arithmetic",e8f66e1e0baf11ebab90acde48001122_1
How many syllables are there in the last name of the mother of the director of film Brenda Brave?,3,number,"Commonsense, Arithmetic",9e506db00bdc11eba7f7acde48001122_1
"How many syllables are there in the last name of Hugh Montgomerie, 7Th Earl Of Eglinton's paternal grandmother?",3,number,"Commonsense, Arithmetic",6c80bc4e0bb011ebab90acde48001122_1
What is the closest palindrome number to when the publisher of Tribal College Journal was founded?,1991,number,"Commonsense, Arithmetic",335443cc0bde11eba7f7acde48001122_3
What is the closest palindrome number to when the publisher of National Contest Journal was founded?,1881,number,"Commonsense, Arithmetic",9674c7020bdd11eba7f7acde48001122_3
What is the closest palindrome number to when the publisher of Bellingham Review was founded?,1881,number,"Commonsense, Arithmetic",0f35d6f40bde11eba7f7acde48001122_3
What is the combined length of the first name and last name of the spouse of the director of film Bratuku Teruvu?,21,number,"Commonsense, Arithmetic",eb5e96420bda11eba7f7acde48001122_19
What is the combined length of the first name and last name of the father of the director of film The Cup (1999 Film)?,12,number,"Commonsense, Arithmetic",68dd6b9a0bd911eba7f7acde48001122_19
What is the combined length of the first name and last name of Eochaid Mac Fiachnai's paternal grandfather?,7,number,"Commonsense, Arithmetic",3a142e540baf11ebab90acde48001122_19
What is the concatenation of the first letter of the first name and the last letter of the last name of Viacheslav I Of Kiev's maternal grandfather in lowercase?,hn,string,"Symbolic, Commonsense",b01b7cc40baf11ebab90acde48001122_14
"What is the concatenation of the first letter of the first name and the last letter of the last name of William Paulet, 4Th Marquess Of Winchester's paternal grandmother in lowercase?",ey,string,"Symbolic, Commonsense",895740ae0bb011ebab90acde48001122_14
What is the concatenation of the first letter of the first name and the last letter of the last name of the paternal grandfather of Ahmose-Henutemipet in lowercase?,se,string,"Symbolic, Commonsense",bc702d440baf11ebab90acde48001122_14
What is the date 5 months before Prince Raphael Rainer Of Thurn And Taxis's mother's birthday?,1870-02-06,date,"Commonsense, Arithmetic",43c910980bde11eba7f7acde48001122_3
What is the date 2 months before when Princess Eléonore Of Belgium's mother was born?,1972-11-20,date,"Commonsense, Arithmetic",f190ac100bdc11eba7f7acde48001122_3
When was Princess Eléonore Of Belgium's mother born?,20 January 1973,date,Original,f190ac100bdc11eba7f7acde48001122_3
What is the date 10 months before the date of death of the director of film Break The News?,1980-05-15,date,"Commonsense, Arithmetic",c99fc05e0bd911eba7f7acde48001122_3
What is the date of death of the director of film Break The News?,15 March 1981,date,Original,c99fc05e0bd911eba7f7acde48001122_3
How many letters are there between the first and last letters of the first name of the father of the director of film Little Joe (Film)?,4,number,"Commonsense, Arithmetic",d61d801e0bd911eba7f7acde48001122_4
How many letters are there between the first and last letters of the first name of the father of the director of film American Woman (2018 Film)?,4,number,"Commonsense, Arithmetic",87289e460bdc11eba7f7acde48001122_4
How many letters are there between the first and last letters of the first name of the spouse of the director of film The Invisible Menace?,5,number,"Commonsense, Arithmetic",642b190c0bda11eba7f7acde48001122_4
What is the reverse order of the letters in the last name of Yujiulü Doulun's paternal grandfather?,nehzehut,string,"Symbolic, Commonsense",f643bee20bae11ebab90acde48001122_6
"What is the reverse order of the letters in the last name of Robert Petre, 8Th Baron Petre's paternal grandmother?",notfilc,string,"Symbolic, Commonsense",e53937d00bae11ebab90acde48001122_6
"Who is Robert Petre, 8Th Baron Petre's paternal grandmother?",Mary Clifton,person,Original,e53937d00bae11ebab90acde48001122_6
What is the reverse order of the letters in the last name of the mother of the director of film Operation Gold Ingot?,ryc-tnias,string,"Symbolic, Commonsense",26af280a0bdc11eba7f7acde48001122_6
"What is the month (in number) of when Magnus, Prince Of Anhalt-Köthen's father died?",8,number,Commonsense,e9bc48940bd911eba7f7acde48001122_8
"When did Magnus, Prince Of Anhalt-Köthen's father die?",28 August 1473,date,Original,e9bc48940bd911eba7f7acde48001122_8
